"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 15 21:24:57 EEST 2024","Tue Oct 15 21:24:57 EEST 2024","301","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:01 EEST 2024","Tue Oct 15 21:25:02 EEST 2024","297","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidName","registerUserWithInvalidName",""
"failed","Tue Oct 15 21:25:23 EEST 2024","Tue Oct 15 21:25:23 EEST 2024","498","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:15 EEST 2024","Tue Oct 15 21:25:15 EEST 2024","291","All Test Suite","Test","TestRegisteration.TC_VerifyRegOTP","TestRegisteration.TC_VerifyRegOTP","testVerifyRegisterOTPWithInvalidOTP","testVerifyRegisterOTPWithInvalidOTP",""
"passed","Tue Oct 15 21:24:47 EEST 2024","Tue Oct 15 21:24:53 EEST 2024","6321","All Test Suite","Test","E2E_Test.CreateAccountE2E","E2E_Test.CreateAccountE2E","createUserThenLoginWithoutOTP","createUserThenLoginWithoutOTP",""
"passed","Tue Oct 15 21:25:06 EEST 2024","Tue Oct 15 21:25:07 EEST 2024","307","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:26 EEST 2024","Tue Oct 15 21:25:26 EEST 2024","311","All Test Suite","Test","TestRegisteration.TC_RemoveUser","TestRegisteration.TC_RemoveUser","testRemoveUser","testRemoveUser",""
"passed","Tue Oct 15 21:25:07 EEST 2024","Tue Oct 15 21:25:07 EEST 2024","290","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:17 EEST 2024","Tue Oct 15 21:25:17 EEST 2024","279","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:16 EEST 2024","Tue Oct 15 21:25:16 EEST 2024","283","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"passed","Tue Oct 15 21:24:58 EEST 2024","Tue Oct 15 21:24:59 EEST 2024","304","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:16 EEST 2024","Tue Oct 15 21:25:16 EEST 2024","306","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"failed","Tue Oct 15 21:25:21 EEST 2024","Tue Oct 15 21:25:21 EEST 2024","503","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:02 EEST 2024","Tue Oct 15 21:25:02 EEST 2024","315","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidAddress","registerUserWithInvalidAddress",""
"passed","Tue Oct 15 21:25:03 EEST 2024","Tue Oct 15 21:25:04 EEST 2024","298","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCity","registerUserWithInvalidCity",""
"passed","Tue Oct 15 21:25:03 EEST 2024","Tue Oct 15 21:25:03 EEST 2024","324","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCity","registerUserWithInvalidCity",""
"passed","Tue Oct 15 21:25:08 EEST 2024","Tue Oct 15 21:25:09 EEST 2024","302","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"failed","Tue Oct 15 21:25:22 EEST 2024","Tue Oct 15 21:25:22 EEST 2024","557","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:06 EEST 2024","Tue Oct 15 21:25:06 EEST 2024","289","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:24:59 EEST 2024","Tue Oct 15 21:25:00 EEST 2024","320","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:24:59 EEST 2024","Tue Oct 15 21:24:59 EEST 2024","324","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:24 EEST 2024","Tue Oct 15 21:25:24 EEST 2024","281","All Test Suite","Test","TestRegisteration.TC_GetExam","TestRegisteration.TC_GetExam","getExamTestWithInvalidExamID","getExamTestWithInvalidExamID",""
"passed","Tue Oct 15 21:25:04 EEST 2024","Tue Oct 15 21:25:04 EEST 2024","316","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCountry","registerUserWithInvalidCountry",""
"passed","Tue Oct 15 21:25:05 EEST 2024","Tue Oct 15 21:25:05 EEST 2024","324","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidGender","registerUserWithInvalidGender",""
"passed","Tue Oct 15 21:24:57 EEST 2024","Tue Oct 15 21:24:58 EEST 2024","310","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:15 EEST 2024","Tue Oct 15 21:25:16 EEST 2024","483","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserTest","loginUserTest",""
"passed","Tue Oct 15 21:25:10 EEST 2024","Tue Oct 15 21:25:10 EEST 2024","334","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPhoneNumber","registerUserWithInvalidPhoneNumber",""
"passed","Tue Oct 15 21:24:58 EEST 2024","Tue Oct 15 21:24:58 EEST 2024","328","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"failed","Tue Oct 15 21:25:24 EEST 2024","Tue Oct 15 21:25:24 EEST 2024","325","All Test Suite","Test","TestRegisteration.TC_GetExam","TestRegisteration.TC_GetExam","getExamTestWithInvalidExamID","getExamTestWithInvalidExamID",""
"passed","Tue Oct 15 21:24:57 EEST 2024","Tue Oct 15 21:24:57 EEST 2024","319","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:00 EEST 2024","Tue Oct 15 21:25:01 EEST 2024","310","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidName","registerUserWithInvalidName",""
"passed","Tue Oct 15 21:25:04 EEST 2024","Tue Oct 15 21:25:05 EEST 2024","332","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCountry","registerUserWithInvalidCountry",""
"passed","Tue Oct 15 21:25:00 EEST 2024","Tue Oct 15 21:25:00 EEST 2024","312","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:24 EEST 2024","Tue Oct 15 21:25:25 EEST 2024","415","All Test Suite","Test","TestRegisteration.TC_EvaluateExam","TestRegisteration.TC_EvaluateExam","evaluateExamTestHighestScore","evaluateExamTestHighestScore",""
"failed","Tue Oct 15 21:25:18 EEST 2024","Tue Oct 15 21:25:18 EEST 2024","284","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:17 EEST 2024","Tue Oct 15 21:25:17 EEST 2024","287","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:06 EEST 2024","Tue Oct 15 21:25:06 EEST 2024","301","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:24:34 EEST 2024","Tue Oct 15 21:24:46 EEST 2024","11802","All Test Suite","Test","E2E_Test.CreateAccountE2E","E2E_Test.CreateAccountE2E","testE2e","testE2e",""
"failed","Tue Oct 15 21:25:21 EEST 2024","Tue Oct 15 21:25:22 EEST 2024","498","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"failed","Tue Oct 15 21:25:22 EEST 2024","Tue Oct 15 21:25:23 EEST 2024","520","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:09 EEST 2024","Tue Oct 15 21:25:10 EEST 2024","302","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPhoneNumber","registerUserWithInvalidPhoneNumber",""
"passed","Tue Oct 15 21:25:05 EEST 2024","Tue Oct 15 21:25:06 EEST 2024","304","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidGender","registerUserWithInvalidGender",""
"failed","Tue Oct 15 21:25:19 EEST 2024","Tue Oct 15 21:25:19 EEST 2024","481","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:07 EEST 2024","Tue Oct 15 21:25:08 EEST 2024","318","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"failed","Tue Oct 15 21:25:20 EEST 2024","Tue Oct 15 21:25:21 EEST 2024","499","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:10 EEST 2024","Tue Oct 15 21:25:10 EEST 2024","300","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPhoneNumber","registerUserWithInvalidPhoneNumber",""
"passed","Tue Oct 15 21:25:09 EEST 2024","Tue Oct 15 21:25:09 EEST 2024","301","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPhoneNumber","registerUserWithInvalidPhoneNumber",""
"passed","Tue Oct 15 21:25:03 EEST 2024","Tue Oct 15 21:25:03 EEST 2024","305","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCity","registerUserWithInvalidCity",""
"passed","Tue Oct 15 21:25:06 EEST 2024","Tue Oct 15 21:25:06 EEST 2024","300","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:24:59 EEST 2024","Tue Oct 15 21:24:59 EEST 2024","299","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:17 EEST 2024","Tue Oct 15 21:25:17 EEST 2024","288","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"passed","Tue Oct 15 21:25:08 EEST 2024","Tue Oct 15 21:25:08 EEST 2024","309","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:18 EEST 2024","Tue Oct 15 21:25:19 EEST 2024","283","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:25 EEST 2024","Tue Oct 15 21:25:25 EEST 2024","301","All Test Suite","Test","TestRegisteration.TC_LogOut","TestRegisteration.TC_LogOut","testLogOut","testLogOut",""
"passed","Tue Oct 15 21:25:02 EEST 2024","Tue Oct 15 21:25:03 EEST 2024","338","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCity","registerUserWithInvalidCity",""
"passed","Tue Oct 15 21:25:01 EEST 2024","Tue Oct 15 21:25:01 EEST 2024","310","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidName","registerUserWithInvalidName",""
"passed","Tue Oct 15 21:25:00 EEST 2024","Tue Oct 15 21:25:00 EEST 2024","299","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidName","registerUserWithInvalidName",""
"passed","Tue Oct 15 21:25:10 EEST 2024","Tue Oct 15 21:25:15 EEST 2024","4386","All Test Suite","Test","TestRegisteration.TC_VerifyRegOTP","TestRegisteration.TC_VerifyRegOTP","testVerifyRegisterOTP","testVerifyRegisterOTP",""
"failed","Tue Oct 15 21:25:20 EEST 2024","Tue Oct 15 21:25:20 EEST 2024","522","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"failed","Tue Oct 15 21:25:16 EEST 2024","Tue Oct 15 21:25:17 EEST 2024","289","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"passed","Tue Oct 15 21:24:58 EEST 2024","Tue Oct 15 21:24:58 EEST 2024","327","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidEmail","registerUserWithInvalidEmail",""
"passed","Tue Oct 15 21:24:55 EEST 2024","Tue Oct 15 21:24:57 EEST 2024","2100","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUser","registerUser",""
"passed","Tue Oct 15 21:25:01 EEST 2024","Tue Oct 15 21:25:01 EEST 2024","302","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidName","registerUserWithInvalidName",""
"passed","Tue Oct 15 21:25:25 EEST 2024","Tue Oct 15 21:25:26 EEST 2024","292","All Test Suite","Test","TestRegisteration.TC_GetUser","TestRegisteration.TC_GetUser","testGetUser","testGetUser",""
"passed","Tue Oct 15 21:25:25 EEST 2024","Tue Oct 15 21:25:25 EEST 2024","324","All Test Suite","Test","TestRegisteration.TC_EvaluateExam","TestRegisteration.TC_EvaluateExam","evaluateExamTestLowestScore","evaluateExamTestLowestScore",""
"passed","Tue Oct 15 21:25:02 EEST 2024","Tue Oct 15 21:25:02 EEST 2024","326","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidAddress","registerUserWithInvalidAddress",""
"passed","Tue Oct 15 21:25:01 EEST 2024","Tue Oct 15 21:25:01 EEST 2024","317","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidName","registerUserWithInvalidName",""
"passed","Tue Oct 15 21:25:10 EEST 2024","Tue Oct 15 21:25:10 EEST 2024","306","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPhoneNumber","registerUserWithInvalidPhoneNumber",""
"failed","Tue Oct 15 21:25:18 EEST 2024","Tue Oct 15 21:25:18 EEST 2024","283","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"failed","Tue Oct 15 21:25:17 EEST 2024","Tue Oct 15 21:25:18 EEST 2024","277","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidEmail","loginUserWithInvalidEmail",""
"failed","Tue Oct 15 21:25:19 EEST 2024","Tue Oct 15 21:25:20 EEST 2024","509","All Test Suite","Test","TestRegisteration.TC_LogIn","TestRegisteration.TC_LogIn","loginUserWithInvalidPassword","loginUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:23 EEST 2024","Tue Oct 15 21:25:24 EEST 2024","562","All Test Suite","Test","TestRegisteration.TC_GetExam","TestRegisteration.TC_GetExam","getExamTest","getExamTest",""
"passed","Tue Oct 15 21:25:08 EEST 2024","Tue Oct 15 21:25:08 EEST 2024","302","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:07 EEST 2024","Tue Oct 15 21:25:07 EEST 2024","307","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPassword","registerUserWithInvalidPassword",""
"passed","Tue Oct 15 21:25:04 EEST 2024","Tue Oct 15 21:25:04 EEST 2024","314","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCountry","registerUserWithInvalidCountry",""
"passed","Tue Oct 15 21:25:26 EEST 2024","Tue Oct 15 21:25:26 EEST 2024","279","All Test Suite","Test","TestRegisteration.TC_GetUser","TestRegisteration.TC_GetUser","testGetRemoverUser","testGetRemoverUser",""
"passed","Tue Oct 15 21:25:05 EEST 2024","Tue Oct 15 21:25:05 EEST 2024","296","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidCountry","registerUserWithInvalidCountry",""
"passed","Tue Oct 15 21:25:09 EEST 2024","Tue Oct 15 21:25:09 EEST 2024","290","All Test Suite","Test","TestRegisteration.TC_Registeration","TestRegisteration.TC_Registeration","registerUserWithInvalidPhoneNumber","registerUserWithInvalidPhoneNumber",""
